date,year,month,season,style,share
2020-06-01,2020,6,summer,business,0.0635
2020-06-01,2020,6,summer,street,0.1325
2020-06-01,2020,6,summer,sweet,0.1343
2020-06-01,2020,6,summer,japanese,0.1139
2020-06-01,2020,6,summer,korean,0.1396
2020-07-01,2020,7,summer,casual,0.1339
2020-07-01,2020,7,summer,elegant,0.0899
2020-07-01,2020,7,summer,sporty,0.2062
2020-07-01,2020,7,summer,business,0.0541
2020-07-01,2020,7,summer,street,0.1369
2020-07-01,2020,7,summer,sweet,0.1332
2020-07-01,2020,7,summer,japanese,0.1051
2020-07-01,2020,7,summer,korean,0.1408
2020-08-01,2020,8,summer,casual,0.1425
2020-08-01,2020,8,summer,elegant,0.091
2020-08-01,2020,8,summer,sporty,0.2152
2020-08-01,2020,8,summer,business,0.0569
2020-08-01,2020,8,summer,street,0.1393
2020-08-01,2020,8,summer,sweet,0.1228
2020-08-01,2020,8,summer,japanese,0.0952
2020-08-01,2020,8,summer,korean,0.137
2020-09-01,2020,9,autumn,casual,0.0883
2020-09-01,2020,9,autumn,elegant,0.1385
2020-09-01,2020,9,autumn,sporty,0.087
2020-09-01,2020,9,autumn,business,0.1428
2020-09-01,2020,9,autumn,street,0.1821
2020-09-01,2020,9,autumn,sweet,0.1012
2020-09-01,2020,9,autumn,japanese,0.1045
2020-09-01,2020,9,autumn,korean,0.1555
2020-10-01,2020,10,autumn,casual,0.1034
2020-10-01,2020,10,autumn,elegant,0.1278
2020-10-01,2020,10,autumn,sporty,0.0945
2020-10-01,2020,10,autumn,business,0.1374
2020-10-01,2020,10,autumn,street,0.1826
2020-10-01,2020,10,autumn,sweet,0.0959
2020-10-01,2020,10,autumn,japanese,0.1035
2020-10-01,2020,10,autumn,korean,0.1548
2020-11-01,2020,11,autumn,casual,0.0997
2020-11-01,2020,11,autumn,elegant,0.1318
2020-11-01,2020,11,autumn,sporty,0.103
2020-11-01,2020,11,autumn,business,0.1327
2020-11-01,2020,11,autumn,street,0.1628
2020-11-01,2020,11,autumn,sweet,0.113
2020-11-01,2020,11,autumn,japanese,0.1114
2020-11-01,2020,11,autumn,korean,0.1454
2020-12-01,2020,12,winter,casual,0.106
2020-12-01,2020,12,winter,elegant,0.154
2020-12-01,2020,12,winter,sporty,0.0933
2020-12-01,2020,12,winter,business,0.1599
2020-12-01,2020,12,winter,street,0.1175
2020-12-01,2020,12,winter,sweet,0.1374
2020-12-01,2020,12,winter,japanese,0.1078
2020-12-01,2020,12,winter,korean,0.1241
2021-01-01,2021,1,winter,casual,0.091
2021-01-01,2021,1,winter,elegant,0.1856
2021-01-01,2021,1,winter,sporty,0.0754
2021-01-01,2021,1,winter,business,0.1826
2021-01-01,2021,1,winter,street,0.1067
2021-01-01,2021,1,winter,sweet,0.1427
2021-01-01,2021,1,winter,japanese,0.0889
2021-01-01,2021,1,winter,korean,0.1272
2021-02-01,2021,2,winter,casual,0.0996
2021-02-01,2021,2,winter,elegant,0.1542
2021-02-01,2021,2,winter,sporty,0.1016
2021-02-01,2021,2,winter,business,0.1535
2021-02-01,2021,2,winter,street,0.1181
2021-02-01,2021,2,winter,sweet,0.1365
2021-02-01,2021,2,winter,japanese,0.1159
2021-02-01,2021,2,winter,korean,0.1206
2021-03-01,2021,3,spring,casual,0.1121
2021-03-01,2021,3,spring,elegant,0.1079
2021-03-01,2021,3,spring,sporty,0.1166
2021-03-01,2021,3,spring,business,0.0792
2021-03-01,2021,3,spring,street,0.116
2021-03-01,2021,3,spring,sweet,0.1485
2021-03-01,2021,3,spring,japanese,0.1622
2021-03-01,2021,3,spring,korean,0.1574
2021-04-01,2021,4,spring,casual,0.1197
2021-04-01,2021,4,spring,elegant,0.1204
2021-04-01,2021,4,spring,sporty,0.1063
2021-04-01,2021,4,spring,business,0.0728
2021-04-01,2021,4,spring,street,0.1193
2021-04-01,2021,4,spring,sweet,0.1451
2021-04-01,2021,4,spring,japanese,0.1572
2021-04-01,2021,4,spring,korean,0.1592
2021-05-01,2021,5,spring,casual,0.1158
2021-05-01,2021,5,spring,elegant,0.1261
2021-05-01,2021,5,spring,sporty,0.1222
2021-05-01,2021,5,spring,business,0.0749
2021-05-01,2021,5,spring,street,0.1176
2021-05-01,2021,5,spring,sweet,0.1303
2021-05-01,2021,5,spring,japanese,0.1563
2021-05-01,2021,5,spring,korean,0.1568
2021-06-01,2021,6,summer,casual,0.1248
2021-06-01,2021,6,summer,elegant,0.0874
2021-06-01,2021,6,summer,sporty,0.2049
2021-06-01,2021,6,summer,business,0.0624
2021-06-01,2021,6,summer,street,0.1474
2021-06-01,2021,6,summer,sweet,0.137
2021-06-01,2021,6,summer,japanese,0.1084
2021-06-01,2021,6,summer,korean,0.1278
2021-07-01,2021,7,summer,casual,0.142
2021-07-01,2021,7,summer,elegant,0.0894
2021-07-01,2021,7,summer,sporty,0.2049
2021-07-01,2021,7,summer,business,0.0502
2021-07-01,2021,7,summer,street,0.1504
2021-07-01,2021,7,summer,sweet,0.1289
2021-07-01,2021,7,summer,japanese,0.0856
2021-07-01,2021,7,summer,korean,0.1486
2021-08-01,2021,8,summer,casual,0.1344
2021-08-01,2021,8,summer,elegant,0.0958
2021-08-01,2021,8,summer,sporty,0.2021
2021-08-01,2021,8,summer,business,0.0518
2021-08-01,2021,8,summer,street,0.1565
2021-08-01,2021,8,summer,sweet,0.1258
2021-08-01,2021,8,summer,japanese,0.0945
2021-08-01,2021,8,summer,korean,0.1391
2021-09-01,2021,9,autumn,casual,0.104
2021-09-01,2021,9,autumn,elegant,0.1363
2021-09-01,2021,9,autumn,sporty,0.0967
2021-09-01,2021,9,autumn,business,0.1293
2021-09-01,2021,9,autumn,street,0.1812
2021-09-01,2021,9,autumn,sweet,0.0955
2021-09-01,2021,9,autumn,japanese,0.0954
2021-09-01,2021,9,autumn,korean,0.1616
2021-10-01,2021,10,autumn,casual,0.0944
2021-10-01,2021,10,autumn,elegant,0.1228
2021-10-01,2021,10,autumn,sporty,0.0899
2021-10-01,2021,10,autumn,business,0.132
2021-10-01,2021,10,autumn,street,0.1888
2021-10-01,2021,10,autumn,sweet,0.1115
2021-10-01,2021,10,autumn,japanese,0.1114
2021-10-01,2021,10,autumn,korean,0.1491
2021-11-01,2021,11,autumn,casual,0.1063
2021-11-01,2021,11,autumn,elegant,0.1314
2021-11-01,2021,11,autumn,sporty,0.0963
2021-11-01,2021,11,autumn,business,0.121
2021-11-01,2021,11,autumn,street,0.1648
2021-11-01,2021,11,autumn,sweet,0.1101
2021-11-01,2021,11,autumn,japanese,0.1131
2021-11-01,2021,11,autumn,korean,0.157
2021-12-01,2021,12,winter,casual,0.0993
2021-12-01,2021,12,winter,elegant,0.1549
2021-12-01,2021,12,winter,sporty,0.0947
2021-12-01,2021,12,winter,business,0.1625
2021-12-01,2021,12,winter,street,0.1156
2021-12-01,2021,12,winter,sweet,0.1416
2021-12-01,2021,12,winter,japanese,0.104
2021-12-01,2021,12,winter,korean,0.1274
2022-01-01,2022,1,winter,casual,0.0826
2022-01-01,2022,1,winter,elegant,0.1849
2022-01-01,2022,1,winter,sporty,0.0662
2022-01-01,2022,1,winter,business,0.1779
2022-01-01,2022,1,winter,street,0.1142
2022-01-01,2022,1,winter,sweet,0.1323
2022-01-01,2022,1,winter,japanese,0.1057
2022-01-01,2022,1,winter,korean,0.1363
2022-02-01,2022,2,winter,casual,0.0958
2022-02-01,2022,2,winter,elegant,0.1492
2022-02-01,2022,2,winter,sporty,0.0897
2022-02-01,2022,2,winter,business,0.1626
2022-02-01,2022,2,winter,street,0.1253
2022-02-01,2022,2,winter,sweet,0.1307
2022-02-01,2022,2,winter,japanese,0.1124
2022-02-01,2022,2,winter,korean,0.1343
2022-03-01,2022,3,spring,casual,0.1065
2022-03-01,2022,3,spring,elegant,0.1184
2022-03-01,2022,3,spring,sporty,0.1147
2022-03-01,2022,3,spring,business,0.0646
2022-03-01,2022,3,spring,street,0.119
2022-03-01,2022,3,spring,sweet,0.1543
2022-03-01,2022,3,spring,japanese,0.1747
2022-03-01,2022,3,spring,korean,0.1477
2022-04-01,2022,4,spring,casual,0.1155
2022-04-01,2022,4,spring,elegant,0.1224
2022-04-01,2022,4,spring,sporty,0.1212
2022-04-01,2022,4,spring,business,0.0689
2022-04-01,2022,4,spring,street,0.1181
2022-04-01,2022,4,spring,sweet,0.1368
2022-04-01,2022,4,spring,japanese,0.1569
2022-04-01,2022,4,spring,korean,0.1604
2022-05-01,2022,5,spring,casual,0.1084
2022-05-01,2022,5,spring,elegant,0.1175
2022-05-01,2022,5,spring,sporty,0.1199
2022-05-01,2022,5,spring,business,0.0771
2022-05-01,2022,5,spring,street,0.113
2022-05-01,2022,5,spring,sweet,0.1513
2022-05-01,2022,5,spring,japanese,0.1578
2022-05-01,2022,5,spring,korean,0.1549
2022-06-01,2022,6,summer,casual,0.1434
2022-06-01,2022,6,summer,elegant,0.0981
2022-06-01,2022,6,summer,sporty,0.2128
2022-06-01,2022,6,summer,business,0.0429
2022-06-01,2022,6,summer,street,0.1453
2022-06-01,2022,6,summer,sweet,0.1085
2022-06-01,2022,6,summer,japanese,0.1011
2022-06-01,2022,6,summer,korean,0.148
2022-07-01,2022,7,summer,casual,0.1354
2022-07-01,2022,7,summer,elegant,0.0816
2022-07-01,2022,7,summer,sporty,0.2074
2022-07-01,2022,7,summer,business,0.0624
2022-07-01,2022,7,summer,street,0.1588
2022-07-01,2022,7,summer,sweet,0.1177
2022-07-01,2022,7,summer,japanese,0.0953
2022-07-01,2022,7,summer,korean,0.1413
2022-08-01,2022,8,summer,casual,0.1405
2022-08-01,2022,8,summer,elegant,0.0829
2022-08-01,2022,8,summer,sporty,0.1984
2022-08-01,2022,8,summer,business,0.0579
2022-08-01,2022,8,summer,street,0.1515
2022-08-01,2022,8,summer,sweet,0.1166
2022-08-01,2022,8,summer,japanese,0.0949
2022-08-01,2022,8,summer,korean,0.1574
2022-09-01,2022,9,autumn,casual,0.0975
2022-09-01,2022,9,autumn,elegant,0.1367
2022-09-01,2022,9,autumn,sporty,0.093
2022-09-01,2022,9,autumn,business,0.1177
2022-09-01,2022,9,autumn,street,0.1856
2022-09-01,2022,9,autumn,sweet,0.0913
2022-09-01,2022,9,autumn,japanese,0.1112
2022-09-01,2022,9,autumn,korean,0.1669
2022-10-01,2022,10,autumn,casual,0.0842
2022-10-01,2022,10,autumn,elegant,0.1413
2022-10-01,2022,10,autumn,sporty,0.0943
2022-10-01,2022,10,autumn,business,0.1293
2022-10-01,2022,10,autumn,street,0.1847
2022-10-01,2022,10,autumn,sweet,0.0941
2022-10-01,2022,10,autumn,japanese,0.1099
2022-10-01,2022,10,autumn,korean,0.1621
2022-11-01,2022,11,autumn,casual,0.097
2022-11-01,2022,11,autumn,elegant,0.1266
2022-11-01,2022,11,autumn,sporty,0.1121
2022-11-01,2022,11,autumn,business,0.1249
2022-11-01,2022,11,autumn,street,0.1718
2022-11-01,2022,11,autumn,sweet,0.1034
2022-11-01,2022,11,autumn,japanese,0.0983
2022-11-01,2022,11,autumn,korean,0.1659
2022-12-01,2022,12,winter,casual,0.0995
2022-12-01,2022,12,winter,elegant,0.1516
2022-12-01,2022,12,winter,sporty,0.0975
2022-12-01,2022,12,winter,business,0.1636
2022-12-01,2022,12,winter,street,0.1209
2022-12-01,2022,12,winter,sweet,0.1274
2022-12-01,2022,12,winter,japanese,0.1082
2022-12-01,2022,12,winter,korean,0.1312
2023-01-01,2023,1,winter,casual,0.0862
2023-01-01,2023,1,winter,elegant,0.1746
2023-01-01,2023,1,winter,sporty,0.0724
2023-01-01,2023,1,winter,business,0.17
2023-01-01,2023,1,winter,street,0.1233
2023-01-01,2023,1,winter,sweet,0.1297
2023-01-01,2023,1,winter,japanese,0.1091
2023-01-01,2023,1,winter,korean,0.1347
2023-02-01,2023,2,winter,casual,0.1002
2023-02-01,2023,2,winter,elegant,0.1568
2023-02-01,2023,2,winter,sporty,0.0878
2023-02-01,2023,2,winter,business,0.1494
2023-02-01,2023,2,winter,street,0.1292
2023-02-01,2023,2,winter,sweet,0.1354
2023-02-01,2023,2,winter,japanese,0.1075
2023-02-01,2023,2,winter,korean,0.1337
2023-03-01,2023,3,spring,casual,0.1131
2023-03-01,2023,3,spring,elegant,0.1197
2023-03-01,2023,3,spring,sporty,0.1174
2023-03-01,2023,3,spring,business,0.0664
2023-03-01,2023,3,spring,street,0.1243
2023-03-01,2023,3,spring,sweet,0.1441
2023-03-01,2023,3,spring,japanese,0.1592
2023-03-01,2023,3,spring,korean,0.1558
2023-04-01,2023,4,spring,casual,0.1162
2023-04-01,2023,4,spring,elegant,0.118
2023-04-01,2023,4,spring,sporty,0.1157
2023-04-01,2023,4,spring,business,0.0735
2023-04-01,2023,4,spring,street,0.1243
2023-04-01,2023,4,spring,sweet,0.1384
2023-04-01,2023,4,spring,japanese,0.1563
2023-04-01,2023,4,spring,korean,0.1577
2023-05-01,2023,5,spring,casual,0.1118
2023-05-01,2023,5,spring,elegant,0.1241
2023-05-01,2023,5,spring,sporty,0.1206
2023-05-01,2023,5,spring,business,0.0665
2023-05-01,2023,5,spring,street,0.1227
2023-05-01,2023,5,spring,sweet,0.144
2023-05-01,2023,5,spring,japanese,0.1453
2023-05-01,2023,5,spring,korean,0.1651
2023-06-01,2023,6,summer,casual,0.1539
2023-06-01,2023,6,summer,elegant,0.1019
2023-06-01,2023,6,summer,sporty,0.192
2023-06-01,2023,6,summer,business,0.0532
2023-06-01,2023,6,summer,street,0.1469
2023-06-01,2023,6,summer,sweet,0.129
2023-06-01,2023,6,summer,japanese,0.0828
2023-06-01,2023,6,summer,korean,0.1403
2023-07-01,2023,7,summer,casual,0.1494
2023-07-01,2023,7,summer,elegant,0.087
2023-07-01,2023,7,summer,sporty,0.1906
2023-07-01,2023,7,summer,business,0.0432
2023-07-01,2023,7,summer,street,0.1677
2023-07-01,2023,7,summer,sweet,0.1143
2023-07-01,2023,7,summer,japanese,0.0925
2023-07-01,2023,7,summer,korean,0.1553
2023-08-01,2023,8,summer,casual,0.1389
2023-08-01,2023,8,summer,elegant,0.1025
2023-08-01,2023,8,summer,sporty,0.2075
2023-08-01,2023,8,summer,business,0.0463
2023-08-01,2023,8,summer,street,0.1509
2023-08-01,2023,8,summer,sweet,0.125
2023-08-01,2023,8,summer,japanese,0.0908
2023-08-01,2023,8,summer,korean,0.1381
2023-09-01,2023,9,autumn,casual,0.0925
2023-09-01,2023,9,autumn,elegant,0.1304
2023-09-01,2023,9,autumn,sporty,0.0846
2023-09-01,2023,9,autumn,business,0.1317
2023-09-01,2023,9,autumn,street,0.2022
2023-09-01,2023,9,autumn,sweet,0.0862
2023-09-01,2023,9,autumn,japanese,0.1077
2023-09-01,2023,9,autumn,korean,0.1647
2023-10-01,2023,10,autumn,casual,0.087
2023-10-01,2023,10,autumn,elegant,0.1303
2023-10-01,2023,10,autumn,sporty,0.0841
2023-10-01,2023,10,autumn,business,0.1259
2023-10-01,2023,10,autumn,street,0.1918
2023-10-01,2023,10,autumn,sweet,0.0947
2023-10-01,2023,10,autumn,japanese,0.1139
2023-10-01,2023,10,autumn,korean,0.1723
2023-11-01,2023,11,autumn,casual,0.102
2023-11-01,2023,11,autumn,elegant,0.1189
2023-11-01,2023,11,autumn,sporty,0.0995
2023-11-01,2023,11,autumn,business,0.1267
2023-11-01,2023,11,autumn,street,0.1793
2023-11-01,2023,11,autumn,sweet,0.0986
2023-11-01,2023,11,autumn,japanese,0.1108
2023-11-01,2023,11,autumn,korean,0.1642
2023-12-01,2023,12,winter,casual,0.0874
2023-12-01,2023,12,winter,elegant,0.1529
2023-12-01,2023,12,winter,sporty,0.089
2023-12-01,2023,12,winter,business,0.1528
2023-12-01,2023,12,winter,street,0.1251
2023-12-01,2023,12,winter,sweet,0.1322
2023-12-01,2023,12,winter,japanese,0.1159
2023-12-01,2023,12,winter,korean,0.1448
2024-01-01,2024,1,winter,casual,0.093
2024-01-01,2024,1,winter,elegant,0.1638
2024-01-01,2024,1,winter,sporty,0.0732
2024-01-01,2024,1,winter,business,0.1711
2024-01-01,2024,1,winter,street,0.141
2024-01-01,2024,1,winter,sweet,0.1256
2024-01-01,2024,1,winter,japanese,0.1035
2024-01-01,2024,1,winter,korean,0.1289
2024-02-01,2024,2,winter,casual,0.1033
2024-02-01,2024,2,winter,elegant,0.1503
2024-02-01,2024,2,winter,sporty,0.0917
2024-02-01,2024,2,winter,business,0.1503
2024-02-01,2024,2,winter,street,0.1294
2024-02-01,2024,2,winter,sweet,0.1337
2024-02-01,2024,2,winter,japanese,0.1098
2024-02-01,2024,2,winter,korean,0.1315
2024-03-01,2024,3,spring,casual,0.1158
2024-03-01,2024,3,spring,elegant,0.1179
2024-03-01,2024,3,spring,sporty,0.1189
2024-03-01,2024,3,spring,business,0.0664
2024-03-01,2024,3,spring,street,0.1214
2024-03-01,2024,3,spring,sweet,0.1353
2024-03-01,2024,3,spring,japanese,0.1673
2024-03-01,2024,3,spring,korean,0.1569
2024-04-01,2024,4,spring,casual,0.106
2024-04-01,2024,4,spring,elegant,0.1239
2024-04-01,2024,4,spring,sporty,0.115
2024-04-01,2024,4,spring,business,0.0698
2024-04-01,2024,4,spring,street,0.1401
2024-04-01,2024,4,spring,sweet,0.1407
2024-04-01,2024,4,spring,japanese,0.1445
2024-04-01,2024,4,spring,korean,0.1599
2024-05-01,2024,5,spring,casual,0.1059
2024-05-01,2024,5,spring,elegant,0.1185
2024-05-01,2024,5,spring,sporty,0.1245
2024-05-01,2024,5,spring,business,0.0693
2024-05-01,2024,5,spring,street,0.1287
2024-05-01,2024,5,spring,sweet,0.1362
2024-05-01,2024,5,spring,japanese,0.1568
2024-05-01,2024,5,spring,korean,0.1601
2024-06-01,2024,6,summer,casual,0.1433
2024-06-01,2024,6,summer,elegant,0.0953
2024-06-01,2024,6,summer,sporty,0.1975
2024-06-01,2024,6,summer,business,0.069
2024-06-01,2024,6,summer,street,0.1615
2024-06-01,2024,6,summer,sweet,0.1088
2024-06-01,2024,6,summer,japanese,0.0858
2024-06-01,2024,6,summer,korean,0.1389
2024-07-01,2024,7,summer,casual,0.1286
2024-07-01,2024,7,summer,elegant,0.0951
2024-07-01,2024,7,summer,sporty,0.2023
2024-07-01,2024,7,summer,business,0.0516
2024-07-01,2024,7,summer,street,0.1552
2024-07-01,2024,7,summer,sweet,0.1125
2024-07-01,2024,7,summer,japanese,0.0923
2024-07-01,2024,7,summer,korean,0.1624
2024-08-01,2024,8,summer,casual,0.1371
2024-08-01,2024,8,summer,elegant,0.0973
2024-08-01,2024,8,summer,sporty,0.2069
2024-08-01,2024,8,summer,business,0.0478
2024-08-01,2024,8,summer,street,0.1598
2024-08-01,2024,8,summer,sweet,0.1107
2024-08-01,2024,8,summer,japanese,0.0928
2024-08-01,2024,8,summer,korean,0.1475
2024-09-01,2024,9,autumn,casual,0.0852
2024-09-01,2024,9,autumn,elegant,0.1322
2024-09-01,2024,9,autumn,sporty,0.1083
2024-09-01,2024,9,autumn,business,0.113
2024-09-01,2024,9,autumn,street,0.1832
2024-09-01,2024,9,autumn,sweet,0.0942
2024-09-01,2024,9,autumn,japanese,0.1179
2024-09-01,2024,9,autumn,korean,0.1661
2024-10-01,2024,10,autumn,casual,0.0914
2024-10-01,2024,10,autumn,elegant,0.1435
2024-10-01,2024,10,autumn,sporty,0.0923
2024-10-01,2024,10,autumn,business,0.1219
2024-10-01,2024,10,autumn,street,0.1898
2024-10-01,2024,10,autumn,sweet,0.0859
2024-10-01,2024,10,autumn,japanese,0.1042
2024-10-01,2024,10,autumn,korean,0.1711
2024-11-01,2024,11,autumn,casual,0.1054
2024-11-01,2024,11,autumn,elegant,0.1348
2024-11-01,2024,11,autumn,sporty,0.0998
2024-11-01,2024,11,autumn,business,0.119
2024-11-01,2024,11,autumn,street,0.1751
2024-11-01,2024,11,autumn,sweet,0.1013
2024-11-01,2024,11,autumn,japanese,0.1162
2024-11-01,2024,11,autumn,korean,0.1485
2024-12-01,2024,12,winter,casual,0.0932
2024-12-01,2024,12,winter,elegant,0.1623
2024-12-01,2024,12,winter,sporty,0.0943
2024-12-01,2024,12,winter,business,0.1539
2024-12-01,2024,12,winter,street,0.1239
2024-12-01,2024,12,winter,sweet,0.1321
2024-12-01,2024,12,winter,japanese,0.1137
2024-12-01,2024,12,winter,korean,0.1265
2025-01-01,2025,1,winter,casual,0.0744
2025-01-01,2025,1,winter,elegant,0.1731
2025-01-01,2025,1,winter,sporty,0.0656
2025-01-01,2025,1,winter,business,0.1688
2025-01-01,2025,1,winter,street,0.1284
2025-01-01,2025,1,winter,sweet,0.1322
2025-01-01,2025,1,winter,japanese,0.1092
2025-01-01,2025,1,winter,korean,0.1483
2025-02-01,2025,2,winter,casual,0.0892
2025-02-01,2025,2,winter,elegant,0.1507
2025-02-01,2025,2,winter,sporty,0.0912
2025-02-01,2025,2,winter,business,0.1621
2025-02-01,2025,2,winter,street,0.1343
2025-02-01,2025,2,winter,sweet,0.1224
2025-02-01,2025,2,winter,japanese,0.1158
2025-02-01,2025,2,winter,korean,0.1343
2025-03-01,2025,3,spring,casual,0.115
2025-03-01,2025,3,spring,elegant,0.1116
2025-03-01,2025,3,spring,sporty,0.1211
2025-03-01,2025,3,spring,business,0.0745
2025-03-01,2025,3,spring,street,0.1257
2025-03-01,2025,3,spring,sweet,0.136
2025-03-01,2025,3,spring,japanese,0.1546
2025-03-01,2025,3,spring,korean,0.1617
2025-04-01,2025,4,spring,casual,0.103
2025-04-01,2025,4,spring,elegant,0.1287
2025-04-01,2025,4,spring,sporty,0.1114
2025-04-01,2025,4,spring,business,0.0672
2025-04-01,2025,4,spring,street,0.1388
2025-04-01,2025,4,spring,sweet,0.1402
2025-04-01,2025,4,spring,japanese,0.1589
2025-04-01,2025,4,spring,korean,0.1519
2025-05-01,2025,5,spring,casual,0.0939
2025-05-01,2025,5,spring,elegant,0.1241
2025-05-01,2025,5,spring,sporty,0.1204
2025-05-01,2025,5,spring,business,0.0761
2025-05-01,2025,5,spring,street,0.135
2025-05-01,2025,5,spring,sweet,0.1371
2025-05-01,2025,5,spring,japanese,0.1455
2025-05-01,2025,5,spring,korean,0.1677
2025-06-01,2025,6,summer,casual,0.1433
2025-06-01,2025,6,summer,elegant,0.0915
2025-06-01,2025,6,summer,sporty,0.1992
2025-06-01,2025,6,summer,business,0.0522
2025-06-01,2025,6,summer,street,0.1711
2025-06-01,2025,6,summer,sweet,0.1173
2025-06-01,2025,6,summer,japanese,0.1009
2025-06-01,2025,6,summer,korean,0.1244
